100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.","Harvard Pilgrim Health Care, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.91,0.99,0,0,0,0,1,0,0,0,0.99,0.09,0,0.83,0.85,0
"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELDERSERVE HEALTH, INC.",RiverSpring Star,Riverspring Health Holding Corp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,0.97,0.07,0.84,0.88,0.81,0
"GHS MANAGED HEALTH CARE PLANS, INC.",Blue Cross Blue Shield of Oklahoma,Health Care Service Corporation,0.6,0.47,0.69,0,0,0.42,0.91,0,0,0,0,0,0.45,0.9,0.65,0.66,0.73,0.42,0.11,0.81,0.74,0.81,0.84,0.8,0.84,0.92,0.12,0.8,0,1,0.47,0.95,0.98,0,0,0.92,0.12,0.8,0,0.83,0.89,0.99,0.03,0.71,0.77,0.74,0.32
HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.","Health Net, Inc.",0.8,0.71,0.68,0,0,0.52,0.94,0.59,0.98,0.91,0.94,0,0.81,0.94,0.85,0.78,0.86,0.56,0.07,0.84,0.78,0.85,0.85,0.84,0.84,0.2,0.04,0.8,0,1,0.82,0.96,0.96,1.8,0,0.2,0.04,0.8,0,0.81,0.89,0.99,0.05,0.83,0.84,0.8,0.23
"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.","Humana Medical Plan of Pennsylvania, Inc.",Humana Inc.,0,0,0.6,0,0,0,0,0,0,0,0,0,0.46,0,0.71,0.7,0,0,0,0,0.81,0,0,0.79,0,0.86,0.24,0.6,0,0,0,0.96,0.98,0,0,0.86,0.24,0.6,0,0,0,0.98,0.03,0.82,0.81,0.77,0.26
"GUILDNET, INC.",GuildNet,Lighthouse Guild International,0.73,0.66,0.76,0,0,0.57,0.8,1,0.72,0.69,0.71,0,0.58,0,0.51,0.57,0,0.88,0,0.8,0.73,0.83,0.83,0.85,0.84,0,0,1,0,0,0,0.59,0.64,0,0,0,0,1,0,0.83,0.89,0.98,0.12,0.8,0.82,0.81,0.37
"SUPERIOR HEALTH PLAN, INC.",Superior HealthPlan,Centene Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUALCHOICE ADVANTAGE,QualChoice Advantage,Catholic Health Initiatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,"Agate Resources,  Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.95,0.88,0,0,0,0,1,0,0,0,0.99,0.08,0,0,0,0
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,0,0.39,0.63,0,0,0.35,0.86,0,0,0,0,0,0.52,0.87,0.58,0.51,0,0.51,0.14,0,0.71,0.85,0.82,0.8,0.83,0.48,0.29,1,0,0,0,0.81,0.83,0,0,0.48,0.29,1,0,0.83,0.92,0.99,0.06,0.74,0.7,0.71,0.33
"ALPHACARE OF NEW YORK, INC.",AlphaCare Signature FIDA Plan,"Magellan Health, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for Healthy Living,"Centers Plan for Healthy Living, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.91,0.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0.85,0.72,0.73,0.66,0.84,0.54,0.91,0,0,0,0,0,0.76,0.91,0.73,0.67,0,0.5,0.12,0.88,0.8,0.94,0.88,0.88,0.87,0.08,0.11,0.8,0,0.96,0.93,0.64,0.61,0,0,0.08,0.11,0.8,0,0.86,0.93,0.98,0.06,0.83,0.85,0.84,0.18
"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna-Healthspring,CIGNA,0,0,0.71,0,0,0,0,0,0,0,0,0,0.69,0.92,0.67,0.43,0.76,0,0.15,0.79,0.73,0.87,0.84,0.83,0.87,0.42,0.18,1,0,0,0,0.94,0.98,1.7,0,0.42,0.18,1,0,0.83,0.9,0.98,0.06,0.73,0.75,0.7,0.46
MEMORIAL HERMANN HEALTH PLAN,"Memorial Hermann Health Plan, Inc.",Memorial Hermann Healthcare System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COVENTRY HEALTH CARE OF NEBRASKA, INC.",Coventry Health Care,Aetna Inc.,0.67,0.65,0.75,0.64,0.78,0.45,0.96,0,0,0,0,0,0.66,0.93,0.86,0.8,0.88,0.56,0.08,0.84,0.78,0.86,0.87,0.82,0.86,0.26,0.07,0.2,0,1,0.64,0.99,0.98,0,0,0.26,0.07,0.2,0,0.81,0.9,0.98,0.07,0.76,0.81,0.79,0.28
"AETNA BETTER HEALTH, INC. (OH)","Aetna Better Health of Ohio, MyCare Ohio",Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEACH STATE HEALTH PLAN, INC.",Peach State Health Plan,Centene Corporation,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9,0.92,0,0,0,0,1,0,0,0,0.99,0,0,0,0,0
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.66,0.65,0.69,0.69,0.79,0.48,0.96,0,0,0,0,0.46,0.61,0.88,0.69,0.6,0.73,0.53,0.11,0.85,0.73,0.85,0.83,0.8,0.85,0.22,0.17,1,0,1,1,0.96,0.98,0.9,0,0.22,0.17,1,0,0.84,0.88,0.98,0.05,0.75,0.76,0.72,0.47
"AMERIGROUP TENNESSEE, INC.",Amerigroup,Anthem Inc.,0.56,0.53,0.65,0.67,0.81,0.49,0.91,0.37,0.88,0.72,0.86,0,0.65,0.91,0.63,0.56,0.61,0.7,0.13,0.83,0.72,0.89,0.87,0.84,0.84,0.5,0.17,1,0,0,0,0.99,0.98,2,0,0.5,0.17,1,0,0.83,0.88,0.99,0.08,0.7,0.73,0.7,0.25
"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Indiana University Health,0.76,0.73,0.81,0.68,0.79,0.49,0.93,0,0,0,0,0.22,0.73,0.92,0.8,0.77,0.88,0.57,0.09,0.88,0.82,0.91,0.89,0.88,0.89,0.09,0.04,0.8,0,0.93,0.87,0.99,0.64,0,0,0.09,0.04,0.8,0,0.86,0.91,0.98,0.07,0.77,0.82,0.77,0.38
PREMERA BLUE CROSS,Premera Blue Cross Medicare Advantage,Premera,0.75,0.62,0.74,0,0,0,0.89,0,0,0,0,0,0.62,0.97,0.9,0.79,0.84,0,0.07,0.83,0.79,0.86,0.84,0.79,0.88,0.44,0.13,1,0,0.94,0.92,0.98,0.95,11.8,0,0.44,0.13,1,0,0.8,0.9,0.98,0.07,0.78,0.81,0.78,0.17
"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Coventry Health Care of Illinois, Inc.",Aetna Inc.,0.69,0.64,0.68,0.72,0.83,0.46,0.99,0,0,0,0,0.42,0.69,0.9,0.87,0.79,0.9,0.51,0.1,0.86,0.79,0.88,0.87,0.85,0.87,0.08,0.06,0.6,0,0.96,0.87,0.99,0.98,0.7,0,0.08,0.06,0.6,0,0.83,0.92,0.98,0.07,0.84,0.85,0.8,0.29
"TUFTS HEALTH PUBLIC PLANS, INC.",Tufts Health Plan - Network Health,"Tufts Associated HMO, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMM HEALTHCARE, LLC",Medicare y Mucho M�s,InnovaCare Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADVICARE, CORP.",Advicare Advocate,"Spartanburg Regional Health Services District, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",0.68,0.56,0.66,0.83,0.81,0.51,0.94,-1,0.76,0.6,0.75,0,0.59,0.93,0.52,0.42,0.68,0.72,0.11,0,0.72,0.86,0.85,0.85,0.83,0.34,0.26,1,0,0.98,0.88,0.9,0.94,0,0,0.34,0.26,1,0,0.87,0.89,0.99,0.03,0.73,0.73,0.68,0.58
PROMINENCE HEALTHFIRST OF TEXAS,Prominence Health Plan,"Universal Health Services, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0,0.73,0.8,0,0,0.57,0.93,0,0,0,0,0,0.83,0.91,0.77,0.78,0,0.6,0.13,0.87,0.82,0.88,0.89,0.86,0.88,0.23,0.02,1,0,0,0,0.99,0.98,8,0,0.23,0.02,1,0,0.87,0.91,0.98,0.1,0.84,0.86,0.83,0.1
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,0.7,0.64,0.73,0.66,0.75,0.48,0.96,0,0,0,0,0.48,0.53,0.92,0.7,0.56,0.73,0.55,0.12,0.79,0.76,0.83,0.84,0.81,0.86,0.23,0.16,1,0,0,0,0.81,0.83,0,0,0.23,0.16,1,0,0.83,0.91,0.98,0.05,0.75,0.76,0.72,0.34
"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UnitedHealth Group, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLINA HEALTHCARE OF MICHIGAN, INC.",Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Health Plan of San Mateo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CLARA COUNTY HEALTH AUTHORITY,Santa Clara Family Health Plan Cal MediConnect,SANTA CLARA COUNTY HEALTH AUTHORITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEARRIVER HEALTH,ClearRiver Health,Catholic Health Initiatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,0.76,0.64,0.77,0.69,0.82,0.48,0.93,0,0,0,0,0.51,0.66,0.93,0.79,0.77,0.75,0.53,0.1,0.86,0.75,0.9,0.88,0.86,0.86,0.11,0.05,1,0,0.97,0.88,0.61,0.69,2.3,0.81,0.11,0.05,1,0,0.84,0.93,0.99,0.12,0.77,0.8,0.75,0.26
"HARBOR HEALTH PLAN, INC.",Harbor Medicare Plans,Tenet Healthcare Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HORIZON HEALTHCARE OF NEW JERSEY, INC.",Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Services, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.71,0.72,0,0,0,0,1,0,0,0,0.99,0.12,0,0.94,0.88,0
ORANGE COUNTY HEALTH AUTHORITY,OneCare Connect,Orange County Health Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AETNA BETTER HEALTH OF MICHIGAN INC.,Aetna Better Health Premier Plan,Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELDERPLAN, INC.",Elderplan FIDA Total Care,"Elderplan, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLINA HEALTHCARE OF ILLINOIS, INC.",Molina Healthcare of Illinois,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AETNA BETTER HEALTH, INC. (NY)",Aetna Better Health FIDA Plan,Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRSTCAROLINACARE INSURANCE COMPANY,FirstCarolinaCare Insurance Company,"FirstHealth of the Carolinas, Inc.",0,0.78,0,0,0,0.53,0.97,0,0,0,0,0,0.6,0,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.92,0.98,0,0,0,0,1,0,0,0,0.99,0.06,0.82,0.81,0.74,0.18
PROVIDER PARTNERS HEALTH PLAN,Provider Partners Advantage,"Preferred Providers Health Plan, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0,0.42,0.75,0,0,0.35,0.77,0,0,0,0,0,0.47,0,0.56,0.65,0,0.5,0,0.84,0.73,0.9,0.88,0.84,0.89,0,0,0.6,0,0,0,1,0.99,0,0,0,0,0.6,0,0.85,0.94,0.99,0.08,0.71,0.79,0.77,0.63
"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",0.69,0.6,0.43,0.62,0.85,0.61,0.85,-1,0.67,0.56,0.75,0,0.64,0,0.46,0.49,0,0,0,0.79,0.76,0.86,0.83,0.83,0.83,0.67,0.31,1,0,0,0,0.9,0.94,0,0,0.67,0.31,1,0,0.83,0.87,0.99,0.04,0.72,0.68,0.69,0.55
GHS INSURANCE COMPANY,Blue Cross and Blue Shield of Texas,Health Care Service Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.64,0.64,0.71,0.67,0.77,0.5,0.93,0,0,0,0,0.23,0.61,0.9,0.77,0.79,0.79,0.58,0.1,0.83,0.77,0.86,0.86,0.84,0.88,0.18,0.11,0.6,0,0.89,0.94,0.96,0.98,0.6,0.92,0.18,0.11,0.6,0,0.85,0.91,0.98,0.06,0.79,0.8,0.77,0.27
"SECURITYCARE OF TENNESSEE, INC.",BlueChoice Tennessee,BlueCross BlueShield of Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.61,0.69,0,0,0,0,1,0,0,0,0.99,0.05,0.63,0.71,0.64,0
"AMERICA'S 1ST CHOICE OF SOUTH CAROLINA, INC.",America's 1st Choice of South Carolina,"America�s 1st Choice of South Carolina, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MANAGED HEALTH SERVICES, WISCONSIN",MHS Health Wisconsin Advantage,Centene Corporation,0.66,0.55,0.63,0,0,0,0.87,0.66,0.73,0.86,0.89,0,0.58,0.93,0.58,0.57,0,0,0.1,0.88,0.81,0.89,0.85,0.88,0.86,0,0.12,1,0,0,0,0.9,0.92,0,0,0,0.12,1,0,0.86,0.9,0.99,0.12,0.67,0.7,0.71,0.34
"MOLINA HEALTHCARE OF TEXAS, INC.",Molina Healthcare of Texas,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SELECT HEALTH OF SOUTH CAROLINA, INC.",FIRST CHOICE VIP CARE PLUS,Independence Blue Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSURANCE COMPANY OF SCOTT AND WHITE,Vital Traditions,Baylor Scott & White Holdings,0,-1,0.87,0,0,0,-1,0,0,0,0,0,0.45,0,0.4,0.53,0,0,-1,0,0,0,0,0.83,0,0,0.08,1,0,0,0,0.23,0.22,0,0,0,0.08,1,0,0,0,0.99,0.14,0.65,0.74,0.72,0.13
LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,L.A. Care Cal MediConnect Plan,Local Initiative Health Authority for LA County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTELLATION HEALTH, LLC.",Constellation Health,"Constellation Health, LLC.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.82,0.8,0,0,0,0,0.8,0,0,0,0.95,0.06,0.23,0.34,0.21,0
"BLUEGRASS FAMILY HEALTH, INC.",Baptist Health Plan,Baptist Healthcare System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMERIGROUP NEW YORK, LLC",Empire BlueCross BlueShield HealthPlus FIDA Plan,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTERLIGHT HEALTHCARE, INC.",CenterLight Healthcare FIDA Plan,"CenterLight Health System, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring CarePlan,CIGNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,1,0.03,0,0,0.83,0
CARESOURCE,CareSource MyCare Ohio,CareSource Management Group Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNS CHOICE,VNSNY CHOICE FIDA Complete,Visiting Nurse Service of New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MODA HEALTH PLAN, INC.","Moda Health Plan, Inc.","Moda, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,Anthem Blue Cross Life and Health Insurance Co.,Anthem Inc.,0.69,0.64,0.74,0,0,0.52,0.78,0,0,0,0,0.31,0.63,0.85,0.74,0.62,0.75,0.56,0.11,0.84,0.76,0.81,0.85,0.81,0.84,0.28,0.04,1,0,0.95,0.91,0.99,0.98,10.3,0.84,0.28,0.04,1,0,0.79,0.87,0.99,0.09,0.74,0.78,0.73,0.12
"ALLEGIAN HEALTH PLANS, INC.",Allegian Health Plans,Tenet Healthcare Corporation,0,0,0.72,0,0,0,0,0,0,0,0,0,0.58,0.94,0.54,0.53,0.77,0,0,0.83,0.68,0.92,0.83,0.85,0.83,0.18,0.23,1,0,0,0,0.72,0.64,7.1,0,0.18,0.23,1,0,0.86,0.88,0.98,0.06,0.68,0.73,0.64,-1
"HEALTH NEW ENGLAND, INC.",HNE Medicare Advantage Plans,"Baystate Health, Inc.",0.88,0.74,0.83,0.66,0.79,0.59,0.95,0,0,0,0,0,0.78,0.97,0.95,0.83,0,0.57,0.11,0.83,0.8,0.93,0.88,0.88,0.86,0.07,0.05,1,0,0.95,0.8,0.67,0.83,0,0,0.07,0.05,1,0,0.85,0.91,0.99,0.1,0.81,0.84,0.8,0.12
THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,0.68,0.6,0.72,0.65,0.71,0.46,0.91,0,0,0,0,0,0.67,0.79,0.83,0.7,0,0.53,0.07,0.89,0.77,0.95,0.86,0.88,0.86,0,0.02,1,0,0,0,0.91,0.9,-1,-1,0,0.02,1,0,0.85,0.93,0.99,0.1,0.78,0.86,0.77,0.12
HEALTH CARE SERVICE CORPORATION,"Blue Cross and Blue Shield of IL, NM, OK",Health Care Service Corporation,0,0,0.59,0,0,0,0,0,0,0,0,0,0.4,0.82,0.29,0.31,0,0,0,0,0.77,0,0,0.79,0,1.64,0.16,1,0,0,0,0.95,0.98,55.8,0,1.64,0.16,1,0,0.85,0,0.98,0.05,0.71,0.77,0.78,0.34
"AETNA HEALTH OF UTAH, INC.",Altius Health Plans,Aetna Inc.,0.67,0.73,0.64,0.71,0.79,0.5,0.96,0,0,0,0,0.36,0.78,0.88,0.85,0.79,0.84,0.51,0.08,0.83,0.76,0.86,0.86,0.81,0.85,0.12,0.39,0.6,0,1,0.83,0.99,0.98,0.7,0,0.12,0.39,0.6,0,0.78,0.88,0.98,0.1,0.75,0.78,0.77,0.27
MOLINA HEALTHCARE OF CALIFORNIA,Molina Healthcare of California,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
